City,Longitude,Latitude,Temperature,Humidity,Wind Speed,Cloud Coverage,Country,Date
kailua-kona,-155.9956,19.6406,22.68,83,4.12,0,US,1689686597
punta del este,-54.95,-34.9667,9.03,72,6.26,20,UY,1689686597
seabra,-41.7703,-12.4186,22.96,48,4.85,0,BR,1689686598
bornos,-5.7445,36.8168,30.08,18,5.8,98,ES,1689686598
sinabang,96.3801,2.4803,26.51,83,3.87,100,ID,1689686599
ponta delgada,-25.6667,37.7333,22.4,68,3.09,20,PT,1689686331
nuku'alofa,-175.2,-21.1333,20.19,77,4.12,20,TO,1689686600
port elizabeth,25.5701,-33.918,19.16,77,8.75,20,ZA,1689686504
breckenridge,-98.9023,32.7557,29.92,42,5.14,0,US,1689686601
jayapura,140.7,-2.5333,25.66,87,0.98,92,ID,1689686402
charters towers,146.2667,-20.1,17.78,71,4.89,76,AU,1689686602
tshabong,22.45,-26.05,24.93,14,4.26,0,BW,1689686603
sandnessjoen,12.6316,66.0217,14.06,82,6.69,75,NO,1689686603
balaklava,33.6,44.5,27.99,43,4.51,12,UA,1689686604
sao raimundo das mangabeiras,-45.4811,-7.0219,30.73,33,5.46,5,BR,1689686604
nizhnyaya salda,60.7202,58.0776,16.67,97,1.65,100,RU,1689686605
christchurch,172.6333,-43.5333,5.65,74,1.03,1,NZ,1689686526
rongelap,166.8941,11.1635,28.54,77,6.69,21,MH,1689686607
bridgewater,-64.5155,44.3835,24.29,91,0.45,67,CA,1689686607
tyup,78.3648,42.7276,22.12,56,3.48,2,KG,1689686608
san pedro pochutla,-96.4667,15.7333,24.84,67,1.58,54,MX,1689686608
tukrah,20.5791,32.5341,30.98,56,8.84,0,LY,1689686321
mankono,-6.1897,8.0586,26.93,77,2.01,100,CI,1689686609
jeddah,39.2192,21.5169,39.92,16,6.17,20,SA,1689686492
obidos,-55.5181,-1.9175,30.14,56,2.56,21,BR,1689686610
thinadhoo,72.9333,0.5333,28.76,69,2.61,95,MV,1689686611
saint-philippe,55.7679,-21.3585,23.77,77,5.6,39,RE,1689686611
port augusta,137.7667,-32.5,9.88,90,2.38,6,AU,1689686612
ar rutbah,40.2848,33.0381,38.86,8,5.78,0,IQ,1689686612
villanueva,-88.0,15.3167,24.55,100,1.54,20,HN,1689686613
gifford,-80.4092,27.6753,28.33,81,3.6,0,US,1689686613
bardai,7.2333,11.65,34.43,35,1.4,63,NG,1689686614
mournies,24.0092,35.4764,31.22,48,5.14,0,GR,1689686614
coxim,-54.76,-18.5067,26.14,47,2.9,91,BR,1689686615
lazaro cardenas,-102.2,17.9583,26.51,77,2.01,100,MX,1689686615
gilgit,74.3087,35.9221,37.08,20,1.28,2,PK,1689686616
esquel,-71.3167,-42.9,-1.77,71,0.8,100,AR,1689686617
matane,-67.522,48.8286,21.04,77,1.92,100,CA,1689686617
revda,59.9303,56.801,19.65,71,3.98,100,RU,1689686115
kavaratti,72.642,10.5669,28.01,80,9.44,73,IN,1689686618
dalandzadgad,104.425,43.5708,29.53,22,7.53,100,MN,1689686618
grajau,-46.1386,-5.8194,31.39,32,4.67,1,BR,1689686619
bac lieu,105.7244,9.285,26.83,84,5.86,100,VN,1689686619
perros-guirec,-3.4396,48.8145,21.32,64,4.63,0,FR,1689686620
pandharpur,75.3333,17.6667,22.32,91,7.31,100,IN,1689686620
pocone,-56.6228,-16.2567,24.1,50,2.62,62,BR,1689686621
fort mcmurray,-111.381,56.7268,15.73,94,3.09,0,CA,1689686622
axim,-2.2405,4.8699,25.94,83,5.17,85,GH,1689686622
jand,72.0193,33.4299,41.19,27,2.86,15,PK,1689686622
ust'-barguzin,108.9833,53.45,12.3,85,1.68,7,RU,1689686623
togur,82.8265,58.3631,22.06,59,1.76,100,RU,1689686624
san luis de la loma,-100.8939,17.2706,26.57,74,2.03,100,MX,1689686624
point pedro,80.2333,9.8167,27.79,82,9.78,100,LK,1689686625
paraisopolis,-45.78,-22.5542,22.24,56,0.86,24,BR,1689686626
krasnogvardeyskoye,41.5186,45.8456,27.82,38,4.33,44,RU,1689686626
kasongo-lunda,16.8167,-6.4667,36.93,13,2.46,6,CD,1689686627
barra de santo antonio,-35.5072,-9.4047,27.6,69,4.13,1,BR,1689686627
bayanaul,75.6956,50.7889,30.16,25,5.9,11,KZ,1689686628
kalmunai,81.8167,7.4167,31.16,56,1.58,51,LK,1689686628
guadalajara,-103.3333,20.6667,16.87,88,0.0,40,MX,1689686629
vila velha,-40.2925,-20.3297,27.19,70,3.09,0,BR,1689686629
rossosh',38.5116,51.1209,26.42,55,4.79,100,RU,1689686630
margate,1.3862,51.3813,19.78,65,5.81,37,GB,1689686187
plettenberg bay,23.3716,-34.0527,17.26,73,3.13,6,ZA,1689686631
cunha,-44.9597,-23.0744,16.41,71,1.21,85,BR,1689686632
saldanha,17.9442,-33.0117,15.03,85,7.53,94,ZA,1689686632
keflavik,-22.5624,64.0049,13.24,67,6.17,40,IS,1689686633
ishigaki,124.1572,24.3448,27.07,94,3.09,73,JP,1689686633
tongchuanshi,109.0897,35.0806,24.3,52,3.47,0,CN,1689686634
sirre,39.4833,8.3167,25.27,49,3.07,79,ET,1689686634
kirkwall,-2.9587,58.9848,15.03,67,4.63,20,GB,1689686430
auki,160.7034,-8.7676,24.94,89,1.93,83,SB,1689686635
minna,6.5569,9.6139,30.84,70,2.06,75,NG,1689686358
murzuq,13.9184,25.9155,38.31,11,3.42,0,LY,1689686636
port alfred,26.891,-33.5906,19.54,79,3.58,3,ZA,1689686636
vegachi,-74.7947,6.7614,23.59,66,1.44,41,CO,1689686637
tsiombe,45.4833,-25.3,23.94,61,5.38,0,MG,1689686637
newark,-74.1724,40.7357,26.22,82,2.06,75,US,1689686638
guiuan,125.7247,11.0333,27.7,77,1.95,57,PH,1689686638
piti village,144.6933,13.4626,28.18,83,2.57,0,GU,1689686639
kalabo,22.6814,-14.97,28.64,18,1.54,0,ZM,1689686639
yuzhno-kurilsk,145.8556,44.0306,12.54,94,0.88,79,RU,1689686640
nova sintra,-24.7167,14.8667,22.76,74,7.21,30,CV,1689686640
taurage,22.2897,55.2522,20.95,47,8.33,39,LT,1689686641
manokwari,134.0833,-0.8667,26.73,80,1.34,98,ID,1689686641
as samawah,45.2944,31.332,45.84,7,4.37,0,IQ,1689686642
cruzeiro do sul,-51.9853,-29.5128,8.62,75,1.1,31,BR,1689686642
inari,27.0288,68.906,16.11,64,3.11,100,FI,1689686116
pathanamthitta,76.7833,9.2667,25.21,89,2.66,100,IN,1689686643
carovigno,17.655,40.708,33.04,49,7.57,0,IT,1689686484
siwa oasis,25.5195,29.2041,38.99,14,3.18,0,EG,1689686645
auchi,6.2667,7.0667,29.23,73,1.99,74,NG,1689686645
qalat,66.9083,32.1058,37.05,8,5.91,0,AF,1689686646
los palacios y villafranca,-5.9243,37.1618,36.46,36,3.09,0,ES,1689686646
agat village,144.6585,13.3886,28.06,83,2.57,0,GU,1689686647
ulladulla,150.4667,-35.35,12.58,49,5.27,0,AU,1689686648
claremont,-117.7198,34.0967,21.82,61,1.54,0,US,1689686648
rancho palos verdes,-118.387,33.7445,18.26,93,0.89,0,US,1689686649
bilovods'k,39.5897,49.2085,27.99,39,4.97,100,UA,1689686649
kapit,112.9333,2.0167,26.1,81,0.68,98,MY,1689686650
la crosse,-91.2396,43.8014,16.27,84,3.09,0,US,1689686650
keyes,-120.9155,37.5566,21.21,60,1.54,0,US,1689686651
arkalyk,66.9114,50.2486,24.4,48,4.61,43,KZ,1689686651
burang,81.1667,30.25,14.26,76,2.55,93,CN,1689686652
uliastay,96.8444,47.7417,18.73,41,3.92,9,MN,1689686653
arvika,12.5852,59.6553,19.34,40,3.91,99,SE,1689686468
vega de alatorre,-96.6333,20.0333,27.01,64,1.92,5,MX,1689686654
lycksele,18.6735,64.5954,17.93,52,4.12,75,SE,1689686654
natchitoches,-93.1335,31.7668,25.99,89,0.0,0,US,1689686655
hwange,26.5019,-18.3693,25.44,21,2.68,0,ZW,1689686655
pangkalanbuun,111.6167,-2.6833,25.11,84,1.7,63,ID,1689686656
bubaque,-15.8333,11.2833,25.81,85,3.71,96,GW,1689686657
belousovka,82.5239,50.1339,30.47,33,3.0,0,KZ,1689686657
valparaiso,-71.6273,-33.0393,16.13,51,2.57,0,CL,1689686603
adigrat,39.462,14.277,23.01,38,3.13,92,ET,1689686658
flying fish cove,105.6791,-10.4217,24.82,83,5.14,40,CX,1689686659
belel,14.4333,7.05,26.24,52,1.4,100,CM,1689686659
teteven,24.2667,42.9167,33.32,30,5.11,0,BG,1689686660
andergrove,149.1833,-21.0833,18.63,88,4.5,13,AU,1689686660
zheleznodorozhnyy,38.0042,55.7503,22.51,46,4.58,99,RU,1689686661
puerto baquerizo moreno,-89.6,-0.9,24.6,79,5.08,100,EC,1689686661
marsh harbour,-77.0636,26.5412,29.06,74,4.73,99,BS,1689686662
weno,151.8468,7.4515,27.97,83,1.54,100,FM,1689686663
labrador city,-66.9114,52.9463,18.95,63,5.14,75,CA,1689686663
al lagowa,29.1333,11.4,35.43,33,2.67,12,SD,1689686664
trumann,-90.5073,35.6737,27.06,88,2.85,100,US,1689686664
chibuto,33.5306,-24.6867,25.79,29,2.64,0,MZ,1689686665
port-la-nouvelle,3.05,43.0167,29.67,76,4.48,40,FR,1689686665
damghan,54.348,36.1683,30.56,33,4.05,67,IR,1689686666
guaruja,-46.2564,-23.9931,18.92,100,1.03,100,BR,1689686666
qaqortoq,-46.0333,60.7167,8.13,93,1.6,100,GL,1689686667
adamovka,59.9396,51.5223,21.35,58,3.2,98,RU,1689686667
ajaccio,8.9167,42.0,27.99,70,3.09,0,FR,1689686445
sangaria,74.45,29.8,36.8,43,4.55,100,IN,1689686668
salinas,-121.6555,36.6777,12.71,91,0.0,0,US,1689686403
wuyang,116.2472,31.9925,25.71,92,2.53,73,CN,1689686669
sabang,95.3214,5.8933,29.18,75,10.93,100,ID,1689686669
taichung,120.6839,24.1469,25.7,94,2.57,75,TW,1689686670
pavlogradka,73.5592,54.2024,29.41,42,6.36,100,RU,1689686670
beolgyo,127.3429,34.8449,23.86,99,1.01,88,KR,1689686671
holualoa,-155.9522,19.6228,20.56,83,4.12,0,US,1689686672
tamanrasset,5.5228,22.785,35.95,10,2.57,0,DZ,1689686672
callao,-77.15,-12.0667,21.16,68,1.54,75,PE,1689686631
cowra,148.6833,-33.8333,5.48,90,0.95,1,AU,1689686673
labuan,115.2417,5.2767,27.2,78,2.06,20,MY,1689686674
urucara,-57.76,-2.5364,30.14,55,1.8,34,BR,1689686674
loreto,-101.9667,22.2667,14.42,84,1.71,5,MX,1689686675
kingaroy,151.8333,-26.5333,11.74,92,1.72,49,AU,1689686675
piracuruca,-41.7092,-3.9281,33.35,34,4.22,0,BR,1689686676
pangody,74.4859,65.85,22.97,44,4.62,93,RU,1689686676
balykshi,51.8667,47.0667,30.0,28,8.0,75,KZ,1689686677
peace river,-117.286,56.2501,12.59,97,2.57,40,CA,1689686677
northam,-4.2167,51.0333,20.14,73,5.77,98,GB,1689686678
nkove,30.85,-7.95,25.57,43,0.77,4,TZ,1689686678
necochea,-58.7368,-38.5473,3.84,54,3.53,0,AR,1689686468
newport,-2.9984,51.5877,19.01,71,3.68,100,GB,1689686501
olyokminsk,120.4264,60.3736,13.85,74,2.33,99,RU,1689686681
menongue,17.691,-14.6585,27.75,10,1.84,0,AO,1689686681
chebarkul',60.3633,54.9749,18.72,87,3.44,100,RU,1689686682
mount isa,139.5,-20.7333,15.87,51,2.57,3,AU,1689686682
ternate,127.4,0.8,26.94,84,3.79,100,ID,1689686683
sao miguel do araguaia,-50.1628,-13.275,31.42,26,2.84,29,BR,1689686683
kochenevo,82.202,55.0218,24.66,40,3.32,21,RU,1689686684
anshun,105.9333,26.25,16.57,95,6.02,100,CN,1689686684
shingu,135.9833,33.7333,25.68,86,2.95,100,JP,1689686685
nizhnesortymskiy,71.7603,62.4397,26.55,37,2.48,30,RU,1689686685
aykhal,111.5,66.0,15.11,65,6.54,32,RU,1689686686
araxa,-46.9406,-19.5933,22.98,53,2.57,20,BR,1689686686
klaksvik,-6.589,62.2266,9.51,90,12.19,100,FO,1689686687
moramanga,48.2,-18.9333,20.06,63,2.96,60,MG,1689686688
abepura,140.5833,-2.6333,25.45,89,1.03,20,ID,1689686688
kapan,46.4058,39.2075,21.34,64,2.43,97,AM,1689686689
nabire,135.4833,-3.3667,24.95,90,2.5,37,ID,1689686690
codrington,141.9667,-38.2667,8.08,67,3.17,7,AU,1689686690
hithadhoo,73.0833,-0.6,28.12,71,2.14,43,MV,1689686691
mabaruma,-59.7833,8.2,28.8,72,1.75,1,GY,1689686691
ahmadnagar,74.7333,19.0833,23.4,88,8.16,100,IN,1689686692
kuching,110.3333,1.55,30.12,79,1.54,40,MY,1689686692
yanam,82.2167,16.7333,24.89,92,4.77,100,IN,1689686693
vernon,-119.2691,50.2581,12.21,77,2.57,1,CA,1689686620
newnham,147.1333,-41.3833,6.68,61,2.57,40,AU,1689686694
kuala belait,114.1833,4.5833,27.09,85,2.71,100,BN,1689686694
ambon,128.1814,-3.6954,24.08,100,3.09,40,ID,1689686695
dembi dolo,34.8,8.5333,20.79,74,1.91,87,ET,1689686695
east ballina,153.5833,-28.8667,13.78,85,2.21,65,AU,1689686696
sirsa,75.0167,29.5333,35.74,47,3.87,100,IN,1689686696
diamantino,-56.4461,-14.4086,28.04,38,2.42,11,BR,1689686697
augusto correa,-46.635,-1.0217,29.79,60,3.57,8,BR,1689686697
le portel,1.5757,50.7056,21.83,60,3.6,51,FR,1689686698
